tanggal,judul,isi_berita,link
2026/05/10 21:15:55,VIDEO: Ribuan Siswa Berebut Beasiswa Gratis di Trenggalek,"Ribuan pelajar tingkat menengah atas di Kabupaten Trenggalek, Jawa Timur memadati gelaran EBY Edu Fair 2026 di Aula Jabal Noor untuk mendapatkan beasiswa gratis bagi yang ingin melanjutkan jenjang berikutnya ke perguruan tinggi.",https://www.cnnindonesia.com/tv/20260510204155-410-1357217/video-ribuan-siswa-berebut-beasiswa-gratis-di-trenggalek
2026/05/07 22:13:14,Densus 88 Ingatkan Ancaman Penyebaran Paham Radikal di Kampus,"Detasemen Khusus (Densus) 88 Antiteror Polribekerja sama dengan kampus untuk mencegah penyebaran paham radikalisme dan intoleransi di kelompok remaja dan pelajar. Salah satu kerjasama yang dilakukan Densus 88 yakni dengan kegiatan Dialog Kebangsaan yang digelar di kampus Stain Majene, Sulawesi Barat, Kamis (7/5). Kepala Satgas Wilayah Densus 88 Sulawesi Barat AKBP Soffan Ansyari menyebut perguruan tinggi memiliki peran strategis untuk menanamkan ideologi kebangsaan serta mencegah berkembangnya paham intoleransi, radikalisme, dan terorisme di kalangan generasi muda. Ia menekankan pencegahan penyebaran paham terorisme memerlukan upaya bersama seluruh elemen masyarakat agar tidak ada celah sedikitpun yang bisa dimanfaatkan pelaku teror. Menurutnya kewaspadaan terhadap penyebaran paham intoleran dan radikal harus terus diperkuat. Salah satu caranya yakni melalui edukasi di lingkungan pendidikan. ""Pentingnya sinergi seluruh elemen masyarakat dalam memperkuat nilai kebangsaan, toleransi, dan kewaspadaan terhadap penyebaran paham intoleran, radikal, dan terorisme guna menjaga stabilitas keamanan dan persatuan bangsa,"" tuturnya. Dalam kesempatan yang sama, Kasubdit Kontra Radikal Direktorat Pencegahan Densus 88 Antiteror Polri Kompol Ridjoko Suseno memaparkan perkembangan paham radikalisme serta pentingnya langkah pencegahan sejak dini, terutama di ruang digital dan lingkungan birokrasi. Lewat dialog tersebut, kata dia, diharapkan dapat membangun kesadaran kolektif masyarakat di mahasiswa agar dapat menjadi agen perdamaian dan persatuan ""Serta berperan aktif dalam upaya pencegahan dan deteksi dini terhadap penyebaran paham intoleran, radikal, dan terorism,"" jelasnya. Sementara itu, Sekretaris Provinsi Sulawesi Barat Junda Maulana mengapresiasi kegiatan dialog itu sebagai bentuk sinergi antara pemerintah daerah, aparat keamanan, dan institusi pendidikan dalam memperkuat nilai kebangsaan. ""Kegiatan ini merupakan bentuk sinergi positif antara pemerintah daerah, aparat, dan institusi pendidikan dalam memperkuat nilai-nilai kebangsaan serta pencegahan paham intoleransi, radikalisme, dan terorisme,"" ujarnya. Kegiatan dialog yang dihadiri 300 mahasiswa itu diisi sesi diskusi interaktif dengan narasumber mengenai ancaman penyebaran paham terorisme di tengah perkembangan teknologi dan media digital.",https://www.cnnindonesia.com/nasional/20260507173015-12-1356247/densus-88-ingatkan-ancaman-penyebaran-paham-radikal-di-kampus
2026/05/01 02:00:02,DPR Desak Kampus Nonaktifkan Dosen Penasehat Yayasan Daycare Aresha,"Wakil Ketua Komisi X DPR RI, MY Esti Wijayantimeminta kampus menonaktifkan dosen yang menjadi penasehat yayasan tempat penitipan anak atauDaycare Little Areshadi Umbulharjo, Kota Yogyakarta. Menurutnya, langkah itu harus diambil sebagai langkah antisipasi jika yang bersangkutan terbukti terlibat dalam kasus kekerasan di Daycare Little Aresha, karena akan ada proses hukum yang dijalani. ""Akan lebih baik secepat mungkin dinonaktifkan kalau memang tersangka, tapi tentu saja ada proses hukum,"" kata Esti dalam keterangan tertulis, Kamis (30/4). Esti mengatakan tenaga pendidik maupun tokoh yang terlibat dalam kasus kekerasan seharusnya mendapat tambahan hukuman. ""Hukuman sanksi terhadap tenaga pendidik maupun tokoh berpengaruh bisa tiga kali lipat dari sanksi yang diberikan kepada umum yang tidak paham,"" katanya. ""Jika memang ada keterlibatan dosen atau tenaga pendidik di balik kasus ini, kami akan lakukan pembahasan di Komisi X DPR,"" imbuh dia. Esti mengatakan penanganan kasus kekerasan Daycare Little Aresha tidak boleh berhenti pada proses hukum semata, tetapi juga harus memastikan pemulihan korban secara menyeluruh. ""Korban mengalami kekerasan fisik maupun mental yang cukup serius. Bahkan ada yang sudah sangat nampak dampak traumanya. Termasuk secara fisik ada dampak pada korban yang tidak tumbuh kembangnya tidak sesuai,"" kata dia. Esti mengaku menerima pengaduan dari para orang tua korban pada Rabu (29/4). Sejumlah orang tua korban menyampaikan langsung kondisi anak-anak mereka. Banyak anak dilaporkan mengalami gangguan kesehatan seperti pneumonia, bronkitis, infeksi kulit (gatal), infeksi saluran kemih (ISK), hingga stunting dan keterlambatan tumbuh kembang. ""Kondisi ini diduga akibat selama berada di daycare anak-anak tidak mendapatkan asupan gizi yang memadai, mengalami dehidrasi, serta ditempatkan di ruang yang lembap, sempit, dan tidak layak,"" kata Esti. Menurut Esti, para orang tua pun berharap agar seluruh video yang beredar di media sosial dapat segera diturunkan (take down). ""Karena dinilai sangat mengganggu kondisi psikologis orang tua maupun mental anak-anak. Sebab tidak sedikit respons dari publik yang justru memperparah keadaan melalui perundungan di ruang digital,"" kata dia. Universitas Gadjah Mada (UGM) sebelumnya membenarkan penasehat yayasan tempat penitipan anak atau Daycare Little Aresha di Umbulharjo, Kota Yogyakarta yakni Cahyaningrum Dewojati merupakan salah satu dosen aktif di kampusnya. Nama dan foto Cahyaningrum sebagai penasehat Little Aresha sebelumnya tersebar di media sosial. ""Terkait dengan informasi yang menyebutkan bahwa Penasihat Yayasan Daycare Little Aresha Yogyakarta merupakan salah satu dosen di perguruan tinggi kami, dapat kami sampaikan bahwa yang bersangkutan benar merupakan dosen aktif yang terlibat dalam pengelolaan daycare tersebut dalam kapasitas pribadi,"" kata Juru Bicara UGM, I Made Andi Arsana dalam keterangannya, Senin (27/4). Oleh karenanya, Made Andi bilang, UGM sebagai institusi tidak memiliki relasi apa pun dengan Yayasan Daycare Little Aresha. Polisi pun telah menetapkan 13 orang sebagai tersangka dalam dugaan tindak kekerasan di tempat penitipan anak atau daycare Little Aresha. ""Menetapkan 13 orang tersangka sementara, terdiri dari satu kepala yayasan, satu kepala sekolah, dan sebelas orang pengasuh,"" kataKapolresta Yogyakarta, Kombes Eva Guna Pandia.",https://www.cnnindonesia.com/nasional/20260430134238-20-1353808/dpr-desak-kampus-nonaktifkan-dosen-penasehat-yayasan-daycare-aresha
2026/04/18 02:00:25,KPK Beri Lima Rekomendasi untuk Perbaikan KIP Kuliah,"Komisi Pemberantasan Korupsi (KPK)memberikan lima rekomendasi untuk perbaikan programKartu Indonesia Pintar (KIP) Kuliahsetelah melakukan kajian terhadap potensi korupsi dalam pelaksanaannya. Rekomendasi tersebut tercantum dalam Lampiran Laporan Tahunan 2025 Direktorat Monitoring KPK yang diakses di Jakarta, Jumat (17/4). KPK merekomendasikan reformasi regulasi dan tata kelola jalur usulan masyarakat, penyusunan pedoman verifikasi disertai alokasi anggaran khusus, pembaruan arsitektur teknologi aplikasi Sistem Informasi Manajemen KIP Kuliah, penguatan koordinasi untuk mencegah duplikasi bantuan, serta penerapan mekanisme pengawasan berlapis dengan sanksi tegas. Rekomendasi tersebut disusun setelah KPK menemukan sejumlah potensi kerawanan dalam pengelolaan program, termasuk konflik kepentingan pada 11 dari 16 perguruan tinggi swasta (PTS) yang menjadi sampel kajian. Dalam temuan tersebut, penerima kuota jalur usulan masyarakat banyak terafiliasi dengan pejabat publik atau entitas politik. Selain itu, alokasi kuota juga diberikan kepada institusi pengawas seperti Badan Pemeriksa Keuangan (BPK) yang dinilai berpotensi menimbulkan kerentanan. KPK juga menemukan lemahnya proses verifikasi dan validasi. Hanya sekitar 50 persen perguruan tinggi sampel yang melakukan kunjungan lapangan, sementara terdapat perguruan tinggi yang hanya memeriksa berkas tanpa wawancara maupun verifikasi langsung. Selain itu, sebanyak 11 dari 15 perguruan tinggi yang bermasalah pada periode 2020-2023 masih menerima kuota KIP Kuliah jalur usulan masyarakat pada 2024. Hal ini menunjukkan sistem sanksi belum memberikan efek jera. KPK juga mengidentifikasi potensi praktik suap dalam pengalokasian kuota, di mana terdapat perguruan tinggi yang mengaku menerima tawaran alokasi dengan imbalan Rp5 juta hingga Rp8 juta per mahasiswa. Temuan lainnya adalah adanya duplikasi bantuan, yakni penerima KIP Kuliah yang juga menerima beasiswa lain. Kondisi ini sejalan dengan temuan Badan Pemeriksa Keuangan pada 2021 terkait duplikasi bantuan di sejumlah daerah. KPK menilai perbaikan tata kelola dan pengawasan diperlukan agar program KIP Kuliah dapat berjalan lebih akuntabel dan tepat sasaran.",https://www.cnnindonesia.com/nasional/20260417193507-12-1349286/kpk-beri-lima-rekomendasi-untuk-perbaikan-kip-kuliah
2026/02/26 15:10:55,LPDP Jajaki Kerja Sama dengan Danantara untuk Serap Alumni,"Lembaga Pengelola Dana Pendidikan (LPDP) membuka peluang kerja sama dengan BPIDanantaraguna memperkuat ekosistem talenta, serta mendorong penciptaan lapangan kerja bagi alumni penerima beasiswa. Direktur LPDP Sudarto mengatakan pihaknya tengah berdiskusi dengan berbagai pihak termasuk Danantara dan industri perbankan, untuk mendukung penempatanawardeeLPDP di sektor-sektor strategis. ""Yang BPI Danantara kita sedang diskusi terus, tapi individu misalnya kami bekerja sama dengan beberapa bank,"" ujar Sudarto dalam mediabriefing, Kamis (26/2). Sudarto menjelaskan sebagian besar alumni LPDP saat ini telah bekerja di berbagai sektor, termasuk di perusahaan tambang besar. Meski demikian, LPDP melihat peluang kolaborasi lebih lanjut melalui skemapro hireatau perekrutan langsung talenta unggulan sesuai kebutuhan industri. ""Rata-rata banyak teman-teman LPDP itu sebenarnya sudah bekerja. Bekerja di perusahaan tambang yang top itu kan bisa pro hire sebenarnya. Beberapa bank sudah bekerja sama dengan kami, dan ini sedang kami diskusikan,"" ujarnya. Menurut Sudarto, pembahasan kerja sama tersebut merupakan bagian dari upaya membangun ekosistem talenta nasional yang terintegrasi, mulai dari pendidikan hingga penyerapan tenaga kerja. LPDP, kata dia, terus berkoordinasi dengan industri dan pemerintah daerah untuk memastikan lulusan penerima beasiswa dapat terserap dan berkontribusi di sektor-sektor prioritas. ""Makanya kita bicara ekosistem itu yang terus kami bicarakan, kami koordinasikan, kami kerjasamakan saat ini dengan industri, termasuk dengan daerah-daerah, agar ekosistem itu terbangun,"" tegasnya. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260226132802-532-1332068/lpdp-jajaki-kerja-sama-dengan-danantara-untuk-serap-alumni
2026/02/26 14:41:52,LPDP Ungkap Separuh Pelanggar Beasiswa Kembalikan Dana ke Kas Negara,"Lembaga Pengelola Dana Pendidikan (LPDP) mengungkap empat dari delapan alumni penerima beasiswa yang dijatuhi sanksi telah melunasi kewajiban pengembalian dana pendidikan kekas negara. Direktur Utama LPDP Sudarto mengatakan delapan alumni tersebut terbukti tidak menjalankan kewajiban pengabdian di Indonesia setelah menyelesaikan studi. ""Empat orang sudah lunas langsung ke kas negara, sisanya masih mencicil,"" ujar Sudarto. Sudarto menjelaskan empat alumni lainnya saat ini masih dalam proses pengembalian dana secara bertahap sesuai mekanisme yang ditetapkan. LPDP sebelumnya menjatuhkan sanksi pengembalian dana penuh kepada delapan alumni tersebut, karena dinilai tidak memenuhi kewajiban kontribusi atau bekerja di Indonesia setelah lulus. Selain kewajiban pengembalian dana, alumni yang terbukti melanggar juga dikenakan sanksi pemblokiran ataublacklistuntuk seluruh program LPDP di masa mendatang. Secara keseluruhan, LPDP telah melakukan evaluasi terhadap ratusan penerima beasiswa. Saat ini, terdapat 36 alumni yang masih dalam proses pemeriksaan terkait dugaan pelanggaran kewajiban. ""Masih dalam proses pemeriksaan ada 36 orang terkait dugaan pelanggaran,"" kata Sudarto. Hingga akhir Januari 2026, tercatat 32.876 orang telah menyelesaikan studi melalui program beasiswa LPDP. Sementara itu, 307 alumni tercatat memperoleh izin resmi untuk mengikuti program magang atau melanjutkan studi di luar negeri. Selain itu, 172 alumni bekerja di lembaga internasional seperti Perserikatan Bangsa-Bangsa (PBB), Bank Dunia, dan Asian Development Bank (ADB) sesuai ketentuan yang berlaku. Sudarto menegaskan setiap kasus diproses secara objektif dan proporsional dengan mempertimbangkan fakta serta konteks masing-masing penerima beasiswa. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260226124235-532-1332031/lpdp-ungkap-separuh-pelanggar-beasiswa-kembalikan-dana-ke-kas-negara
2026/02/24 12:09:55,"LPDP Usut 44 Penerima Beasiswa Belum Kembali ke RI, 8 Sudah Dihukum","Lembaga Pengelola Dana Pendidikan (LPDP) Sudarto mengungkapkan tengah menyelidiki lebih dari 600 penerimabeasiswa(awardee) yang belum kembali ke Indonesia untuk menjalankan kewajiban pengabdian sesuai ketentuan. Direktur LPDP Sudarto menyebut dari penyelidikan itu, sebanyak 44 orang penerima beasiswa diduga mangkir dari kewajiban kembali ke Indonesia. Rinciannya, delapan orang telah dijatuhi sanksi, sementara 36 lainnya masih dalam proses pemeriksaan. ""Kami sudah melakukan penelitian lebih dari 600 dan dari jumlah tersebut, yang sudah ditetapkan sanksi termasuk pengembalian itu delapan orang, 36 lagi sedang dalam proses,"" ujar Sudarto dalam konferensi pers APBN KiTa, Senin (23/2). Sudarto menjelaskan, data terkait awardee yang tidak mengabdi diperoleh dari berbagai sumber. Salah satunya melalui data perlintasan keimigrasian yang diakses LPDP dari Direktorat Jenderal Imigrasi. Selain itu, LPDP juga menerima laporan dari masyarakat serta memantau aktivitas media sosial para penerima beasiswa. Informasi tersebut kemudian diverifikasi lebih lanjut sebelum ditindaklanjuti. ""Terkait data,awardeeyang tidak mengabdi sesuai dengan kewajiban, LPDP dapat data tersebut berdasarkan perlintasan keimigrasian akses dari Dirjen Imigrasi. Kemudian juga dari laporan masyarakat kepada kami dan tentunya dari media sosialawardeeLPDP tersebut,"" katanya. Ia menegaskan tidak semua laporan langsung berujung pada pelanggaran. Dalam sejumlah kasus,awardeediketahui masih dalam masa magang atau membangun usaha di luar negeri, yang memang diperbolehkan selama dua tahun sesuai buku pedoman penerima beasiswa. ""Memang dari laporan-laporan tersebut misalnya terdapat masih dalam masa magang, di mana LPDP memang memberikan kesempatan magang dan bangun usaha selama dua tahun di luar negeri sebagaimana ada di buku pedoman penerima beasiswa,"" jelasnya. Sudarto menambahkan, ada pulaawardeeyang telah menyelesaikan masa pengabdian atau mendapatkan penugasan resmi dari instansi tempatnya bekerja. Karena itu, setiap laporan diproses secara objektif dan profesional. ""Setiap kasus kami akan proses secara objektif dan profesional. Kami terus menjaga amanah publik, bahwa ini ada dana publik untuk memberikan manfaat sebesar-besarnya,"" ujarnya. Terkait sanksi, Sudarto menegaskan seluruhawardeetelah memahami konsekuensi yang tercantum dalam perjanjian. Sanksi dapat berupa kewajiban pengembalian dana beserta bunga hingga pemblokiran untuk mengikuti program LPDP selanjutnya. ""Adapun sanksi, pengembalian dana termasuk bunga dan pemblokiran untuk mengikuti kegiatan selanjutnya,"" pungkasnya. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260224110949-532-1331158/lpdp-usut-44-penerima-beasiswa-belum-kembali-ke-ri-8-sudah-dihukum
2026/02/23 14:36:35,LPDP Periksa Suami DS Buntut Konten Bangga Anak Dapat Paspor Inggris,"Lembaga Pengelola Dana Pendidikan (LPDP) tengah melakukan pendalaman internal kepada alumnus LPDP yang merupakan suami DS, yakni AP buntut ramai konten di media sosial yang memamerkan anaknya berhasil memperoleh pasporInggris. Hal ini dilakukan lantaran AP diduga belum menyelesaikan kewajiban kontribusinya setelah menamatkan studi. ""LPDP akan melakukan pemanggilan kepada AP untuk meminta klarifikasi, serta akan melakukan proses penindakan dan pengenaan sanksi sampai pengembalian seluruh dana beasiswa apabila terbukti bahwa kewajiban berkontribusi di Indonesia belum dipenuhi,"" tulis LPDP dalam unggahan di media sosial X @LPDP_RI, Jumat (20/2). Adapun LPDP menyayangkan sikap alumnus LPDP tersebut lantaran tidak mencerminkan nilai yang telah ditanamkan LPDP kepada seluruh penerima beasiswa. ""LPDP menyayangkan terjadinya polemik di media sosial yang dipicu oleh tindakan salah satu alumni, Saudari DS. Tindakan tersebut tidak mencerminkan nilai integritas, etika, dan profesionalisme yang ditanamkan LPDP kepada seluruh penerima beasiswa,"" imbuhnya. Sementara itu, lembaga menjelaskan berdasarkan ketentuan seluruhawardeedan alumni LPDP berkewajiban untuk melakukan masa pengabdian kontribusi di Indonesia selama 2 kali masa studi ditambah 1 tahun. ""Dalam kasus Saudari DS yang menempuh studi selama dua tahun, kewajiban kontribusi tersebut adalah lima tahun,"" jelas lembaga. LPDP menerangkan DS telah menyelesaikan studi S2 dengan dinyatakan lulus pada 31 Agustus 2017 dan telah menuntaskan seluruh masa pengabdian sesuai ketentuan. Dengan begitu, LPDP tak lagi mempunyai ikatan hukum dengan yang bersangkutan. Ke depannya, LPDP berkomitmen untuk menegakkan aturan secara adil, konsisten, dan bertanggung jawab kepada seluruhawardeedan alumni. Selain itu, LPDP juga akan terus menjaga integritas institusi dalam memberikan manfaat sebesar-besarnya bagi Indonesia. Sebelumnya, seorang warga negara Indonesia (WNI) alumnus beasiswa negara LPDP menyampaikan permohonan maaf secara terbuka atas pernyataan kontroversialnya di media sosial. Pemilik akun @sasetyaningtyas mengunggah postingan pernyataan dan permohonan maaf setelah pernyataannya ""cukup saya saja yang WNI, anak-anak saya jangan"", jadi sorotan warganet. ""Saya menyampaikan permohonan maaf secara terbuka kepada seluruh masyarakat yang merasa tersakiti, tersinggung, maupun tidak nyaman atas pernyataan tersebut,"" tulisnya. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260223134646-532-1330851/lpdp-periksa-suami-ds-buntut-konten-bangga-anak-dapat-paspor-inggris
2026/02/21 06:53:20,"Buntut Viral, LPDP Sebut Suami Alumnus Terancam Balikkan Dana Beasiswa","Lembaga Pengelola DanaPendidikan(LPDP) mengungkapkan potensi pengembalian dana dari alumnus berinisial DS karena diduga belum menyelesaikan kewajiban kontribusinya. Hal ini menyusul ramainya postingan di media sosial terkait alumnus yang memamerkan anaknya karena berhasil memperoleh paspor Inggris. Menindaklanjuti postingan viral tersebut, LPDP dalam unggahannya di media sosialXdengan akun @LPDP_RI berencana untuk melakukan pendalaman lebih lanjut, Jumat (20/2). Melalui unggahan tersebut, LPDP juga menyayangkan sikap pasangan alumnus LPDP tersebut, lantaran tidak mencerminkan nilai yang telah ditanamkan LPDP kepada seluruh penerima beasiswa. LPDP mengungkapkan bahwa suami DS, yakni AP yang juga menjadi perhatian publik diduga belum menyelesaikan kewajiban kontribusinya setelah menamatkan studi. Selanjutnya, LPDP tengah melakukan pendalaman internal terkait dugaan tersebut. ""LPDP akan melakukan pemanggilan kepada AP untuk meminta klarifikasi, serta akan melakukan proses penindakan dan pengenaan sanksi sampai pengembalian seluruh dana beasiswa apabila terbukti bahwa kewajiban berkontribusi di Indonesia belum dipenuhi,"" jelas LPDP dalam akun medsosnya. Lembaga di bawah naungan Kementerian Keuangan tersebut menjelaskan bahwa sesuai ketentuan, seluruhawardeedan alumni LPDP memiliki kewajiban untuk melaksanakan masa pengabdian berkontribusi di Indonesia selama 2 kali masa studi ditambah 1 tahun. ""Dalam kasus Saudari DS (istri AP) yang menempuh studi selama dua tahun, kewajiban kontribusi tersebut adalah lima tahun,"" jelas LPDP. LPDP menjelaskan kalau DS telah menyelesaikan studi S2 dan dinyatakan lulus pada 31 Agustus 2017, serta telah menuntaskan seluruh masa pengabdian sesuai ketentuan. Dengan demikian, LPDP tidak lagi memiliki perikatan hukum dengan yang bersangkutan. Meskipun demikian, LPDP akan tetap berkomunikasi dengan DS dan mengimbau agar bersangkutan lebih bijak dalam menggunakan media sosial, memperhatikan sensitivitas publik, serta memahamkan kembali bahwa penerima beasiswa LPDP mempunyai kewajiban kebangsaan untuk mengabdi pada negeri. ""LPDP menyayangkan terjadinya polemik di media sosial yang dipicu oleh tindakan salah satu alumni, Saudari DS. Tindakan tersebut tidak mencerminkan nilai integritas, etika, dan profesionalisme yang ditanamkan LPDP kepada seluruh penerima beasiswa,"" tulis LPDP, Jumat (20/2). Ke depan, LPDP berkomitmen untuk menegakkan aturan secara adil, konsisten, dan bertanggung jawab kepada seluruhawardeedan alumni. LPDPakan terus menjaga integritas institusi dalam memberikan manfaat sebesar-besarnya bagi Indonesia. Sebelumnya, seorang warga negara Indonesia (WNI) alumnus beasiswa negara LPDP menyampaikan permohonan maaf secara terbuka atas pernyataan kontroversialnya di media sosial. Pemilik akun @sasetyaningtyas mengunggah postingan pernyataan dan permohonan maaf setelah pernyataannya ""cukup saya saja yang WNI, anak-anak saya jangan"", jadi sorotan warganet. ""Saya menyampaikan permohonan maaf secara terbuka kepada seluruh masyarakat yang merasa tersakiti, tersinggung, maupun tidak nyaman atas pernyataan tersebut,"" tulisnya. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260221063234-532-1330236/buntut-viral-lpdp-sebut-suami-alumnus-terancam-balikkan-dana-beasiswa
2026/02/21 06:20:15,LPDP Respons Alumni Bangga Anaknya Jadi WNA,"Lembaga Pengelola DanaPendidikan(LPDP) merespons ramainya postingan di media sosial terkait alumnus yang memamerkan anaknya karena berhasil memperoleh pasporInggris. Pernyataan tersebut diunggah di media sosialXdengan akun @LPDP_RI pada Jumat (20/2). Melalui unggahan tersebut, LPDP menanggapi isu Awardee LPDP Bangga Anak Menjadi WNA. Dalam hal ini, pihak lembaga menyayangkan sikap alumnus LPDP tersebut, lantaran tidak mencerminkan nilai yang telah ditanamkan LPDP kepada seluruh penerima beasiswa. ""LPDP menyayangkan terjadinya polemik di media sosial yang dipicu oleh tindakan salah satu alumni, Saudari DS. Tindakan tersebut tidak mencerminkan nilai integritas, etika, dan profesionalisme yang ditanamkan LPDP kepada seluruh penerima beasiswa,"" tulis LPDP, Jumat (20/2). Selanjutnya, lembaga menyebutkan bahwa sesuai ketentuan, seluruhawardeedan alumni LPDP memiliki kewajiban untuk melaksanakan masa pengabdian berkontribusi di Indonesia selama 2 kali masa studi ditambah 1 tahun. ""Dalam kasus Saudari DS yang menempuh studi selama dua tahun, kewajiban kontribusi tersebut adalah lima tahun,"" jelas LPDP. LPDP menjelaskan kalau DS telah menyelesaikan studi S2 dan dinyatakan lulus pada 31 Agustus 2017, serta telah menuntaskan seluruh masa pengabdian sesuai ketentuan. Dengan demikian, LPDP tidak lagi memiliki perikatan hukum dengan yang bersangkutan. Meskipun demikian, LPDP akan tetap berupaya mengkomunikasikan kepada DS untuk mengimbau agar bersangkutan dapat lebih bijak dalam menggunakan media sosial, memperhatikan sensitivitas publik, serta memahamkan kembali bahwa penerima beasiswa LPDP mempunyai kewajiban kebangsaan untuk mengabdi pada negeri. Adapun terkait suami DS, yakni AP yang juga menjadi perhatian publik dan merupakan alumnus, LPDP mengungkapkan bahwa yang bersangkutan diduga belum menyelesaikan kewajiban kontribusinya setelah menamatkan studi. Selanjutnya, LPDP tengah melakukan pendalaman internal terkait dugaan tersebut. ""LPDP akan melakukan pemanggilan kepada AP untuk meminta klarifikasi, serta akan melakukan proses penindakan dan pengenaan sanksi sampai pengembalian seluruh dana beasiswa apabila terbukti bahwa kewajiban berkontribusi di Indonesia belum dipenuhi,"" jelas lembaga. Ke depan, LPDP berkomitmen untuk menegakkan aturan secara adil, konsisten, dan bertanggung jawab kepada seluruhawardeedan alumni. LPDP juga akan terus menjaga integritas institusi dalam memberikan manfaat sebesar-besarnya bagi Indonesia. Sebelumnya, seorang warga negara Indonesia (WNI) alumnus beasiswa negara LPDP menyampaikan permohonan maaf secara terbuka atas pernyataan kontroversialnya di media sosial. Pemilik akun @sasetyaningtyas mengunggah postingan pernyataan dan permohonan maaf setelah pernyataannya ""cukup saya saja yang WNI, anak-anak saya jangan"", jadi sorotan warganet. ""Saya menyampaikan permohonan maaf secara terbuka kepada seluruh masyarakat yang merasa tersakiti, tersinggung, maupun tidak nyaman atas pernyataan tersebut,"" tulisnya. [Gambas:Video CNN]",https://www.cnnindonesia.com/ekonomi/20260221054708-532-1330232/lpdp-respons-alumni-bangga-anaknya-jadi-wna
